Date : 2025-02-16 17:43:33
Directory : d:\Desktop\C++\OpenGL\Engine
Total : 380 files,  32539 codes, 14022 comments, 6066 blanks, all 52627 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\assimp\importerdesc.h                         | C++      |         34 |        100 |         21 |        155 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\assimp\light.h                                | C++      |         53 |        174 |         32 |        259 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\assimp\material.h                             | C++      |        644 |        805 |        278 |      1,727 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\assimp\material.inl                           | C++      |        278 |         87 |         39 |        404 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\assimp\matrix3x3.h                            | C++      |         57 |         96 |         26 |        179 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\assimp\matrix3x3.inl                          | C++      |        244 |         78 |         38 |        360 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\assimp\matrix4x4.h                            | C++      |         72 |        176 |         39 |        287 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\assimp\matrix4x4.inl                          | C++      |        467 |        133 |         75 |        675 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\assimp\mesh.h                                 | C++      |        461 |        561 |        156 |      1,178 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\assimp\metadata.h                             | C++      |        401 |        107 |         64 |        572 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\assimp\pbrmaterial.h                          | C++      |         31 |         47 |         12 |         90 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\assimp\port\AndroidJNI\AndroidJNIIOSystem.h   | C++      |         23 |         51 |         15 |         89 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\assimp\port\AndroidJNI\BundledAssetIOSystem.h | C++      |         32 |         41 |         21 |         94 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\assimp\postprocess.h                          | C++      |         82 |        574 |         54 |        710 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\assimp\qnan.h                                 | C++      |         57 |         90 |         16 |        163 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\assimp\quaternion.h                           | C++      |         41 |         77 |         26 |        144 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\assimp\quaternion.inl                         | C++      |        203 |         80 |         29 |        312 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\assimp\scene.h                                | C++      |        182 |        260 |         72 |        514 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\assimp\texture.h                              | C++      |         64 |        131 |         29 |        224 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\assimp\types.h                                | C++      |        274 |        193 |         91 |        558 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\assimp\vector2.h                              | C++      |         45 |         46 |         19 |        110 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\assimp\vector2.inl                            | C++      |        142 |         76 |         31 |        249 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\assimp\vector3.h                              | C++      |         55 |         79 |         36 |        170 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\assimp\vector3.inl                            | C++      |        187 |         85 |         13 |        285 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\assimp\version.h                              | C++      |         24 |         83 |         16 |        123 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\my_math.h                                     | C++      |         14 |          0 |          5 |         19 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\stb_image\stb_image.cpp                       | C++      |          2 |          0 |          0 |          2 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\stb_image\stb_image.h                         | C++      |      5,265 |      1,153 |        776 |      7,194 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\stb_image\stb_image_write.cpp                 | C++      |          2 |          0 |          0 |          2 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\stb_image\stb_image_write.h                   | C++      |      1,242 |        315 |        168 |      1,725 |
| d:\Desktop\C++\OpenGL\Engine\Engine\include\utils.h                                       | C++      |         10 |          0 |          5 |         15 |
| d:\Desktop\C++\OpenGL\Engine\Engine\math\Matrix.cpp                                       | C++      |         68 |          0 |         13 |         81 |
| d:\Desktop\C++\OpenGL\Engine\Engine\math\my_math.cpp                                      | C++      |         13 |          0 |          2 |         15 |
| d:\Desktop\C++\OpenGL\Engine\Engine\render\Bloomer.cpp                                    | C++      |        110 |          3 |          9 |        122 |
| d:\Desktop\C++\OpenGL\Engine\Engine\render\Renderer.cpp                                   | C++      |        130 |          0 |         16 |        146 |
| d:\Desktop\C++\OpenGL\Engine\Engine\tools\AssimpLoader.cpp                                | C++      |        204 |          0 |          9 |        213 |
| d:\Desktop\C++\OpenGL\Engine\Engine\tools\GLHelper.cpp                                    | C++      |        495 |          0 |         18 |        513 |
| d:\Desktop\C++\OpenGL\Engine\Engine\tools\GLShaderProgram.cpp                             | C++      |         94 |          0 |          7 |        101 |
| d:\Desktop\C++\OpenGL\Engine\Engine\tools\Image.cpp                                       | C++      |         24 |          0 |          5 |         29 |
| d:\Desktop\C++\OpenGL\Engine\Engine\tools\InstanceHelper.cpp                              | C++      |         53 |          0 |          8 |         61 |
| d:\Desktop\C++\OpenGL\Engine\Engine\tools\TextureDispatcher.cpp                           | C++      |         18 |          0 |          4 |         22 |
| d:\Desktop\C++\OpenGL\Engine\Engine\tools\utils.cpp                                       | C++      |         23 |          0 |          5 |         28 |
| d:\Desktop\C++\OpenGL\Engine\include\Ela\Def.h                                            | C++      |      3,495 |          1 |         24 |      3,520 |
| d:\Desktop\C++\OpenGL\Engine\include\Ela\ElaAcrylicUrlCard.h                              | C++      |         34 |          0 |          6 |         40 |
| d:\Desktop\C++\OpenGL\Engine\include\Ela\ElaAppBar.h                                      | C++      |         82 |          0 |         13 |         95 |
| d:\Desktop\C++\OpenGL\Engine\include\Ela\ElaApplication.h                                 | C++      |         24 |          0 |          5 |         29 |
| d:\Desktop\C++\OpenGL\Engine\include\Ela\ElaBreadcrumbBar.h                               | C++      |         23 |          0 |          6 |         29 |
| d:\Desktop\C++\OpenGL\Engine\include\Ela\ElaCalendar.h                                    | C++      |         22 |          0 |          5 |         27 |
| d:\Desktop\C++\OpenGL\Engine\include\Ela\ElaCalendarPicker.h                              | C++      |         20 |          0 |          6 |         26 |
| d:\Desktop\C++\OpenGL\Engine\include\Ela\ElaCheckBox.h                                    | C++      |         14 |          0 |          4 |         18 |
| d:\Desktop\C++\OpenGL\Engine\include\Ela\ElaColorDialog.h                                 | C++      |         24 |          0 |          6 |         30 |
| d:\Desktop\C++\OpenGL\Engine\include\Ela\ElaComboBox.h                                    | C++      |         18 |          0 |          6 |         24 |
| d:\Desktop\C++\OpenGL\Engine\include\Ela\ElaContentDialog.h                               | C++      |         36 |          0 |          6 |         42 |
| d:\Desktop\C++\OpenGL\Engine\include\Ela\ElaDockWidget.h                                  | C++      |         25 |          0 |          5 |         30 |
| d:\Desktop\C++\OpenGL\Engine\include\Ela\ElaDoubleSpinBox.h                               | C++      |         16 |          0 |          6 |         22 |
| d:\Desktop\C++\OpenGL\Engine\include\Ela\ElaDxgiManager.h                                 | C++      |         52 |          0 |          7 |         59 |
| d:\Desktop\C++\OpenGL\Engine\include\Ela\ElaEventBus.h                                    | C++      |         37 |          0 |          9 |         46 |
| d:\Desktop\C++\OpenGL\Engine\include\Ela\ElaExponentialBlur.h                             | C++      |         18 |          0 |          6 |         24 |
| d:\Desktop\C++\OpenGL\Engine\include\Ela\ElaFlowLayout.h                                  | C++      |         30 |          0 |          6 |         36 |
| d:\Desktop\C++\OpenGL\Engine\include\Ela\ElaGraphicsItem.h                                | C++      |         40 |          0 |          9 |         49 |
| d:\Desktop\C++\OpenGL\Engine\include\Ela\ElaGraphicsLineItem.h                            | C++      |         27 |          0 |          7 |         34 |
| d:\Desktop\C++\OpenGL\Engine\include\Ela\ElaGraphicsScene.h                               | C++      |         57 |          1 |         13 |         71 |
| d:\Desktop\C++\OpenGL\Engine\include\Ela\ElaGraphicsView.h                                | C++      |         21 |          0 |          6 |         27 |
| d:\Desktop\C++\OpenGL\Engine\include\Ela\ElaIcon.h                                        | C++      |         21 |          0 |          4 |         25 |
| d:\Desktop\C++\OpenGL\Engine\include\Ela\ElaIconButton.h                                  | C++      |         33 |          0 |          7 |         40 |
| d:\Desktop\C++\OpenGL\Engine\include\Ela\ElaImageCard.h                                   | C++      |         20 |          0 |          6 |         26 |
| d:\Desktop\C++\OpenGL\Engine\include\Ela\ElaInteractiveCard.h                             | C++      |         29 |          0 |          7 |         36 |
| d:\Desktop\C++\OpenGL\Engine\include\Ela\ElaLineEdit.h                                    | C++      |         25 |          0 |          7 |         32 |
| d:\Desktop\C++\OpenGL\Engine\include\Ela\ElaListView.h                                    | C++      |         16 |          0 |          5 |         21 |
| d:\Desktop\C++\OpenGL\Engine\include\Ela\ElaLog.h                                         | C++      |         23 |          0 |          7 |         30 |
| d:\Desktop\C++\OpenGL\Engine\include\Ela\ElaMenu.h                                        | C++      |         32 |          0 |          9 |         41 |
| d:\Desktop\C++\OpenGL\Engine\include\Ela\ElaMenuBar.h                                     | C++      |         20 |          0 |          7 |         27 |
| d:\Desktop\C++\OpenGL\Engine\include\Ela\ElaMessageBar.h                                  | C++      |         24 |          0 |          8 |         32 |
| d:\Desktop\C++\OpenGL\Engine\include\Ela\ElaMessageButton.h                               | C++      |         28 |          0 |          6 |         34 |
| d:\Desktop\C++\OpenGL\Engine\include\Ela\ElaMultiSelectComboBox.h                         | C++      |         28 |          0 |          4 |         32 |
| d:\Desktop\C++\OpenGL\Engine\include\Ela\ElaNavigationBar.h                               | C++      |         38 |          0 |         10 |         48 |
| d:\Desktop\C++\OpenGL\Engine\include\Ela\ElaNavigationRouter.h                            | C++      |         24 |          0 |          7 |         31 |
| d:\Desktop\C++\OpenGL\Engine\include\Ela\ElaPivot.h                                       | C++      |         23 |          0 |          6 |         29 |
| d:\Desktop\C++\OpenGL\Engine\include\Ela\ElaPlainTextEdit.h                               | C++      |         19 |          0 |          6 |         25 |
| d:\Desktop\C++\OpenGL\Engine\include\Ela\ElaPopularCard.h                                 | C++      |         30 |          0 |          5 |         35 |
| d:\Desktop\C++\OpenGL\Engine\include\Ela\ElaProgressBar.h                                 | C++      |         19 |          0 |          6 |         25 |
| d:\Desktop\C++\OpenGL\Engine\include\Ela\ElaPromotionCard.h                               | C++      |         36 |          0 |          4 |         40 |
| d:\Desktop\C++\OpenGL\Engine\include\Ela\ElaPromotionView.h                               | C++      |         25 |          0 |          6 |         31 |
| d:\Desktop\C++\OpenGL\Engine\include\Ela\ElaPushButton.h                                  | C++      |         30 |          0 |          7 |         37 |
| d:\Desktop\C++\OpenGL\Engine\include\Ela\ElaRadioButton.h                                 | C++      |         15 |          0 |          4 |         19 |
| d:\Desktop\C++\OpenGL\Engine\include\Ela\ElaReminderCard.h                                | C++      |         27 |          0 |          6 |         33 |
| d:\Desktop\C++\OpenGL\Engine\include\Ela\ElaScrollArea.h                                  | C++      |         19 |          0 |          8 |         27 |
| d:\Desktop\C++\OpenGL\Engine\include\Ela\ElaScrollBar.h                                   | C++      |         29 |          0 |          7 |         36 |
| d:\Desktop\C++\OpenGL\Engine\include\Ela\ElaScrollPage.h                                  | C++      |         23 |          0 |          7 |         30 |
| d:\Desktop\C++\OpenGL\Engine\include\Ela\ElaScrollPageArea.h                              | C++      |         17 |          0 |          5 |         22 |
| d:\Desktop\C++\OpenGL\Engine\include\Ela\ElaSlider.h                                      | C++      |         13 |          0 |          4 |         17 |
| d:\Desktop\C++\OpenGL\Engine\include\Ela\ElaSpinBox.h                                     | C++      |         16 |          0 |          6 |         22 |
| d:\Desktop\C++\OpenGL\Engine\include\Ela\ElaStatusBar.h                                   | C++      |         12 |          0 |          4 |         16 |
| d:\Desktop\C++\OpenGL\Engine\include\Ela\ElaSuggestBox.h                                  | C++      |         25 |          0 |          6 |         31 |
| d:\Desktop\C++\OpenGL\Engine\include\Ela\ElaTabBar.h                                      | C++      |         24 |          0 |          5 |         29 |
| d:\Desktop\C++\OpenGL\Engine\include\Ela\ElaTabWidget.h                                   | C++      |         20 |          0 |          7 |         27 |
| d:\Desktop\C++\OpenGL\Engine\include\Ela\ElaTableView.h                                   | C++      |         23 |          0 |          7 |         30 |
| d:\Desktop\C++\OpenGL\Engine\include\Ela\ElaText.h                                        | C++      |         27 |          0 |          6 |         33 |
| d:\Desktop\C++\OpenGL\Engine\include\Ela\ElaTheme.h                                       | C++      |         28 |          0 |          8 |         36 |
| d:\Desktop\C++\OpenGL\Engine\include\Ela\ElaToggleButton.h                                | C++      |         26 |          0 |          6 |         32 |
| d:\Desktop\C++\OpenGL\Engine\include\Ela\ElaToggleSwitch.h                                | C++      |         24 |          0 |          6 |         30 |
| d:\Desktop\C++\OpenGL\Engine\include\Ela\ElaToolBar.h                                     | C++      |         21 |          0 |          7 |         28 |
| d:\Desktop\C++\OpenGL\Engine\include\Ela\ElaToolButton.h                                  | C++      |         23 |          0 |          8 |         31 |
| d:\Desktop\C++\OpenGL\Engine\include\Ela\ElaToolTip.h                                     | C++      |         22 |          0 |          5 |         27 |
| d:\Desktop\C++\OpenGL\Engine\include\Ela\ElaTreeView.h                                    | C++      |         16 |          0 |          5 |         21 |
| d:\Desktop\C++\OpenGL\Engine\include\Ela\ElaWidget.h                                      | C++      |         30 |          0 |          6 |         36 |
| d:\Desktop\C++\OpenGL\Engine\include\Ela\ElaWidgetTools.qrc                               | XML      |          9 |          0 |          1 |         10 |
| d:\Desktop\C++\OpenGL\Engine\include\Ela\ElaWindow.h                                      | C++      |         57 |          0 |         10 |         67 |
| d:\Desktop\C++\OpenGL\Engine\include\Ela\singleton.h                                      | C++      |         51 |          0 |          9 |         60 |
| d:\Desktop\C++\OpenGL\Engine\include\Ela\stdafx.h                                         | C++      |         89 |          2 |         14 |        105 |
| d:\Desktop\C++\OpenGL\Engine\res.qrc                                                      | XML      |          5 |          0 |          0 |          5 |
| d:\Desktop\C++\OpenGL\Engine\shaders\IBL\BRDF.frag                                        | GLSL     |         87 |          3 |         22 |        112 |
| d:\Desktop\C++\OpenGL\Engine\shaders\IBL\convolution.frag                                 | GLSL     |         32 |          0 |          4 |         36 |
| d:\Desktop\C++\OpenGL\Engine\shaders\IBL\prefilter.frag                                   | GLSL     |         79 |          9 |         17 |        105 |
| d:\Desktop\C++\OpenGL\Engine\shaders\PBR.frag                                             | GLSL     |         46 |          0 |          6 |         52 |
| d:\Desktop\C++\OpenGL\Engine\shaders\PBR_shadow.frag                                      | GLSL     |         57 |          0 |         10 |         67 |
| d:\Desktop\C++\OpenGL\Engine\shaders\animated_directional_shadow_map.vert                 | GLSL     |         19 |          0 |          6 |         25 |
| d:\Desktop\C++\OpenGL\Engine\shaders\animated_illumination.vert                           | GLSL     |         39 |          0 |          6 |         45 |
| d:\Desktop\C++\OpenGL\Engine\shaders\animated_point_shadow_map.vert                       | GLSL     |          9 |          0 |          4 |         13 |
| d:\Desktop\C++\OpenGL\Engine\shaders\animation3D.vert                                     | GLSL     |         33 |          0 |          6 |         39 |
| d:\Desktop\C++\OpenGL\Engine\shaders\bloom\extract.frag                                   | GLSL     |         19 |          2 |          5 |         26 |
| d:\Desktop\C++\OpenGL\Engine\shaders\bloom\merge.frag                                     | GLSL     |         13 |          0 |          4 |         17 |
| d:\Desktop\C++\OpenGL\Engine\shaders\bloom\up_sample.frag                                 | GLSL     |         50 |          0 |          7 |         57 |
| d:\Desktop\C++\OpenGL\Engine\shaders\cube_map.geom                                        | GLSL     |         30 |          0 |          5 |         35 |
| d:\Desktop\C++\OpenGL\Engine\shaders\cube_map.vert                                        | GLSL     |          9 |          0 |          4 |         13 |
| d:\Desktop\C++\OpenGL\Engine\shaders\depth_debug.frag                                     | GLSL     |         10 |          0 |          4 |         14 |
| d:\Desktop\C++\OpenGL\Engine\shaders\directional_shadow_map.frag                          | GLSL     |          4 |          0 |          1 |          5 |
| d:\Desktop\C++\OpenGL\Engine\shaders\directional_shadow_map.vert                          | GLSL     |         17 |          0 |          4 |         21 |
| d:\Desktop\C++\OpenGL\Engine\shaders\directional_shadow_map_debug.frag                    | GLSL     |         16 |          0 |          5 |         21 |
| d:\Desktop\C++\OpenGL\Engine\shaders\directional_shadow_map_debug.vert                    | GLSL     |         21 |          0 |          5 |         26 |
| d:\Desktop\C++\OpenGL\Engine\shaders\geometry_debug.frag                                  | GLSL     |          5 |          0 |          2 |          7 |
| d:\Desktop\C++\OpenGL\Engine\shaders\geometry_debug.geom                                  | GLSL     |         35 |          0 |          6 |         41 |
| d:\Desktop\C++\OpenGL\Engine\shaders\geometry_debug.vert                                  | GLSL     |         12 |          0 |          4 |         16 |
| d:\Desktop\C++\OpenGL\Engine\shaders\grass.frag                                           | GLSL     |         24 |          0 |          4 |         28 |
| d:\Desktop\C++\OpenGL\Engine\shaders\grass.vert                                           | GLSL     |         31 |          0 |          6 |         37 |
| d:\Desktop\C++\OpenGL\Engine\shaders\grass_land.frag                                      | GLSL     |         11 |          0 |          4 |         15 |
| d:\Desktop\C++\OpenGL\Engine\shaders\grass_land.vert                                      | GLSL     |         20 |          0 |          5 |         25 |
| d:\Desktop\C++\OpenGL\Engine\shaders\illumination.vert                                    | GLSL     |         37 |          1 |          5 |         43 |
| d:\Desktop\C++\OpenGL\Engine\shaders\include\Lights.glsl                                  | GLSL     |         31 |          0 |          2 |         33 |
| d:\Desktop\C++\OpenGL\Engine\shaders\include\PBR.glsl                                     | GLSL     |        105 |          0 |         13 |        118 |
| d:\Desktop\C++\OpenGL\Engine\shaders\include\animation.glsl                               | GLSL     |         18 |          0 |          2 |         20 |
| d:\Desktop\C++\OpenGL\Engine\shaders\include\directional_light_shadow.glsl                | GLSL     |         68 |          0 |          5 |         73 |
| d:\Desktop\C++\OpenGL\Engine\shaders\include\phong.glsl                                   | GLSL     |         55 |          0 |          6 |         61 |
| d:\Desktop\C++\OpenGL\Engine\shaders\include\point_light_shadow.glsl                      | GLSL     |         34 |          0 |          3 |         37 |
| d:\Desktop\C++\OpenGL\Engine\shaders\include\shadow_common.glsl                           | GLSL     |         15 |          1 |          2 |         18 |
| d:\Desktop\C++\OpenGL\Engine\shaders\instance3D.vert                                      | GLSL     |         20 |          1 |          6 |         27 |
| d:\Desktop\C++\OpenGL\Engine\shaders\phong.frag                                           | GLSL     |         40 |          0 |          5 |         45 |
| d:\Desktop\C++\OpenGL\Engine\shaders\phong_shadow.frag                                    | GLSL     |         53 |          0 |          6 |         59 |
| d:\Desktop\C++\OpenGL\Engine\shaders\pink.frag                                            | GLSL     |         88 |         13 |         17 |        118 |
| d:\Desktop\C++\OpenGL\Engine\shaders\point_shadow_map.frag                                | GLSL     |          8 |          0 |          2 |         10 |
| d:\Desktop\C++\OpenGL\Engine\shaders\point_shadow_map.geom                                | GLSL     |         29 |          0 |          5 |         34 |
| d:\Desktop\C++\OpenGL\Engine\shaders\point_shadow_map.vert                                | GLSL     |          7 |          0 |          3 |         10 |
| d:\Desktop\C++\OpenGL\Engine\shaders\point_shadow_map_debug.frag                          | GLSL     |         15 |          0 |          5 |         20 |
| d:\Desktop\C++\OpenGL\Engine\shaders\point_shadow_map_debug.vert                          | GLSL     |         20 |          0 |          5 |         25 |
| d:\Desktop\C++\OpenGL\Engine\shaders\post_process.frag                                    | GLSL     |         27 |          0 |          7 |         34 |
| d:\Desktop\C++\OpenGL\Engine\shaders\sampler2D_debug.frag                                 | GLSL     |         11 |          0 |          4 |         15 |
| d:\Desktop\C++\OpenGL\Engine\shaders\sampler_cube.frag                                    | GLSL     |         11 |          0 |          4 |         15 |
| d:\Desktop\C++\OpenGL\Engine\shaders\sampler_spherical.frag                               | GLSL     |         18 |          0 |          5 |         23 |
| d:\Desktop\C++\OpenGL\Engine\shaders\shadertoy_template.frag                              | GLSL     |         18 |          1 |          3 |         22 |
| d:\Desktop\C++\OpenGL\Engine\shaders\simple2D.vert                                        | GLSL     |         10 |          0 |          4 |         14 |
| d:\Desktop\C++\OpenGL\Engine\shaders\simple3D.vert                                        | GLSL     |         17 |          0 |          5 |         22 |
| d:\Desktop\C++\OpenGL\Engine\shaders\single_color.frag                                    | GLSL     |          6 |          0 |          3 |          9 |
| d:\Desktop\C++\OpenGL\Engine\shaders\skybox.vert                                          | GLSL     |         16 |          0 |          4 |         20 |
| d:\Desktop\C++\OpenGL\Engine\shaders\sphere_to_cube.frag                                  | GLSL     |         19 |          0 |          6 |         25 |
| d:\Desktop\C++\OpenGL\Engine\shaders\train.frag                                           | GLSL     |         25 |          2 |          3 |         30 |
| d:\Desktop\C++\OpenGL\Engine\shaders\train_buffer.frag                                    | GLSL     |        271 |         23 |         52 |        346 |
| d:\Desktop\C++\OpenGL\Engine\src\CameraControlPanel.cpp                                   | C++      |         85 |          0 |          3 |         88 |
| d:\Desktop\C++\OpenGL\Engine\src\CameraControlPanel.h                                     | C++      |          9 |          0 |          2 |         11 |
| d:\Desktop\C++\OpenGL\Engine\src\Common.h                                                 | C++      |          1 |          0 |          2 |          3 |
| d:\Desktop\C++\OpenGL\Engine\src\ControlWidget.cpp                                        | C++      |         37 |          0 |          4 |         41 |
| d:\Desktop\C++\OpenGL\Engine\src\ControlWidget.h                                          | C++      |          9 |          0 |          2 |         11 |
| d:\Desktop\C++\OpenGL\Engine\src\GLWidget.cpp                                             | C++      |         63 |          1 |         10 |         74 |
| d:\Desktop\C++\OpenGL\Engine\src\GLWidget.h                                               | C++      |         21 |          0 |          2 |         23 |
| d:\Desktop\C++\OpenGL\Engine\src\MaterialControlWidget.cpp                                | C++      |         35 |          0 |          5 |         40 |
| d:\Desktop\C++\OpenGL\Engine\src\MaterialControlWidget.h                                  | C++      |         13 |          0 |          2 |         15 |
| d:\Desktop\C++\OpenGL\Engine\src\ModelControlWidget.cpp                                   | C++      |        130 |          0 |         13 |        143 |
| d:\Desktop\C++\OpenGL\Engine\src\ModelControlWidget.h                                     | C++      |          8 |          0 |          2 |         10 |
| d:\Desktop\C++\OpenGL\Engine\src\Object3DControlWidget.cpp                                | C++      |        201 |          0 |         11 |        212 |
| d:\Desktop\C++\OpenGL\Engine\src\Object3DControlWidget.h                                  | C++      |         32 |          0 |          2 |         34 |
| d:\Desktop\C++\OpenGL\Engine\src\RenderSettingsPanel.cpp                                  | C++      |         96 |          7 |         11 |        114 |
| d:\Desktop\C++\OpenGL\Engine\src\RenderSettingsPanel.h                                    | C++      |          8 |          0 |          2 |         10 |
| d:\Desktop\C++\OpenGL\Engine\src\SceneControlPanel.cpp                                    | C++      |         58 |          0 |         11 |         69 |
| d:\Desktop\C++\OpenGL\Engine\src\SceneControlPanel.h                                      | C++      |          8 |          0 |          2 |         10 |
| d:\Desktop\C++\OpenGL\Engine\src\SceneControlWidget.cpp                                   | C++      |         58 |          0 |          4 |         62 |
| d:\Desktop\C++\OpenGL\Engine\src\SceneControlWidget.h                                     | C++      |          7 |          0 |          2 |          9 |
| d:\Desktop\C++\OpenGL\Engine\src\Window.cpp                                               | C++      |         36 |          0 |          6 |         42 |
| d:\Desktop\C++\OpenGL\Engine\src\Window.h                                                 | C++      |          9 |          1 |          2 |         12 |
| d:\Desktop\C++\OpenGL\Engine\src\main.cpp                                                 | C++      |         15 |          0 |          2 |         17 |
| Total                                                                                     |          |     32,539 |     14,022 |      6,066 |     52,627 |
+-------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
